movie_id,rating,rating_count
tt5027774,8.1,568535
tt0081398,8.1,387872
tt4729430,8.2,197535
tt0117951,8.1,738444
tt0050212,8.1,237567
tt0264464,8.1,1131186
tt0116282,8.1,740261
tt1291584,8.1,506075
tt10872600,8.2,916522
tt1205489,8.1,827197
tt1201607,8.1,972374
tt0405159,8.1,733752
tt0096283,8.1,394352
tt1392190,8.1,1138774
tt0052618,8.1,258046
tt0118849,8.2,83030
tt0072684,8.1,187984
tt2024544,8.1,753210
tt0083658,8.1,839133
tt0112471,8.1,349448
tt2278388,8.1,907018
tt2119532,8.1,617073
tt0097165,8.1,569580
tt2267998,8.1,1095756
tt0353969,8.1,227975
tt0107207,8.1,191808
tt26548265,8.5,53672
tt0015864,8.1,120916
tt0198781,8.1,1005103
tt3011894,8.1,222430
tt0382932,8.1,856816
tt0892769,8.1,821437
tt0077416,8.1,368977
tt0073195,8.1,679770
tt0015324,8.2,59183
tt0017925,8.1,100231
tt0978762,8.1,191091
tt0047296,8.1,168487
tt0046268,8.1,68233
tt1950186,8.1,501750
tt0050986,8.1,117492
tt0031679,8.1,123482
tt0041959,8.1,186040
tt3315342,8.1,868350
tt0075148,8.1,645093
tt0046438,8.1,70941
tt0118715,8.1,876121
tt0050976,8.1,203184
tt1895587,8.1,510359
tt3170832,8.1,460240
tt0088247,8.1,946208
tt0395169,8.1,378257
tt0091763,8.1,447694
tt0325980,8.1,1239340
tt0113247,8.1,204050
tt15097216,8.7,221742
tt0381681,8.1,295235
tt0019254,8.1,62583
tt0036868,8.1,72337
tt0070047,8.1,468117
tt1979320,8.1,524160
tt0317705,8,833282
tt0032138,8.1,437590
tt0074958,8.1,174434
tt0049902,8.2,26349
tt0092005,8.1,453457
tt1028532,8.1,319843
tt0059742,8.1,267865
tt0476735,8.2,94918
tt0035446,8.1,44759
tt4016934,8.1,180599
tt0758758,8.1,668739
tt0058946,8.1,67494
tt0129167,8.1,236348
tt0032551,8.1,101973
tt0107048,8,700225
tt0245712,8,256876
tt0032976,8.1,149797
tt1454029,8.1,503201
tt0061512,8,191899
tt5323662,8.1,109368
tt4430212,8.2,98522
